day,month,time1,event1,time2,event2,time3,event3,occasion
1,лютого,18:00,Служба Божа,,,,,Школа Христ. Життя та Євангелізації
2,лютого,18:00,Служба Божа,,,,,Школа Христ. Життя та Євангелізації
3,лютого,9:30,Служба Божа,12:00,Служба Божа,18:00,Служба Божа німецькою,Школа Христ. Життя та Євангелізації
4,лютого,18:00,Служба Божа,19:00,Служба Божа,,,"Поминання померлих <br> Зустріч ""Матері в молитві"""
5,лютого,18:00,Молебень,,,,,Наука у храмі
6,лютого,9:00,Служба Божа,,,,,
7,лютого,18:00,Служба Божа,,,,,Зустріч у параф. залі
8,лютого,18:00,Служба Божа,,,,,Поминання померлих
9,лютого,18:00,Вечірня,,,,,
10,лютого,9:30,Служба Божа,12:00,Служба Божа,18:00,Служба Божа німецькою,"Доброчинна кава після обидвох літургій. Організована товариством чоловіків для потреб організації ""Шпиталь Майдану"""
11,лютого,18:00,,19:00,,,,"Поминання померлих <br> Зустріч ""Матері в молитві"""
12,лютого,18:00,Служба Божа,,,,,"Трьох святителів: Василія Великого, Григорія Богослова і Йоана Золотоустого."
13,лютого,9:00,Служба Божа,,,,,
14,лютого,18:00,Служба Божа,,,,,
15,лютого,18:00,Служба Божа та освічення свічок,,,,,
16,лютого,18:00,Вечірня,,,,,
17,лютого,9:30,Служба Божа,12:00,Служба Божа,18:00,Служба Божа німецькою,
18,лютого,18:00,Служба Божа,19:00,Служба Божа,,,"Поминання померлих <br> Зустріч ""Матері в молитві"""
19,лютого,18:00,Молебень,,,,,Наука у Храмі
20,лютого,9:00,Служба Божа,,,,,
21,лютого,18:00,Служба Божа,,,,,Зустріч у параф. залі
22,лютого,18:00,Служба Божа,,,,,Поминання померлих
23,лютого,18:00,Вечірня,,,,,
24,лютого,9:30,Служба Божа,12:00,Служба Божа,18:00,Служба Божа німецькою,
25,лютого,18:00,Служба Божа,19:00,Служба Божа,,,"Поминання померлих <br> Зустріч ""Матері в молитві"""
26,лютого,18:00,Служба Божа,19:00,Служба Божа,,,"Поминання померлих <br> Зустріч ""Матері в молитві"""
27,лютого,9:00,Служба Божа,,,,,
28,лютого,18:00,Служба Божа,,,,,Зустріч у параф. залі
